     1	1 2.502376 633.199735 240.688470
     2	1 2.503490 668.768177 151.779831
     3	1 2.507119 602.677299 66.008904
     4	1 2.512093 716.729986 166.905612
     5	1 2.512242 746.701530 310.211736
     6	1 2.512538 741.271651 298.647598
     7	1 2.515521 693.071361 170.363237
     8	1 2.516151 723.401065 285.202719
     9	1 2.519804 633.012261 194.639095
    10	1 2.519804 633.048619 185.908326
    11	1 2.521048 627.345812 389.158476
    12	1 2.522503 717.200262 153.182897
    13	1 2.522503 717.319892 144.452127
    14	1 2.522587 710.727870 290.571118
    15	1 2.526510 644.701409 109.044982
    16	1 2.526772 603.101795 352.986971
    17	1 2.526990 711.045419 208.919853
    18	1 2.527545 650.993034 329.841964
    19	1 2.527923 740.705183 187.433042
    20	1 2.528448 668.814225 98.933135
    21	1 2.532269 627.065923 286.851441
    22	1 2.532306 638.717257 43.982910
    23	1 2.532306 639.438795 54.721758
    24	1 2.534287 692.843600 68.851801
    25	1 2.534795 680.525772 358.790036
    26	1 2.538747 602.535123 336.980019
    27	1 2.541364 686.558633 314.019602
    28	1 2.541364 686.867290 305.288832
    29	1 2.542302 650.504803 85.861153
    30	1 2.543405 632.770186 296.636384
    31	1 2.546313 621.085515 190.086521
    32	1 2.546575 609.310475 299.132360
    33	1 2.546712 723.026146 224.743604
    34	1 2.547905 692.673931 243.687283
    35	1 2.548390 705.348687 338.626982
    36	1 2.550736 699.232624 114.412033
    37	1 2.558760 650.919628 169.800246
    38	1 2.561098 602.658154 57.335616
    39	1 2.563553 716.520557 16.060532
    40	1 2.563905 704.886101 199.379101
    41	1 2.563905 704.936874 210.741331
    42	1 2.564030 729.287692 25.840926
    43	1 2.564464 608.608015 135.274768
    44	1 2.564861 686.782975 212.145065
    45	1 2.565463 705.314473 25.465793
    46	1 2.565463 705.358538 14.338879
    47	1 2.573807 668.543329 318.212687
    48	1 2.573807 668.923682 307.085772
    49	1 2.574835 662.911646 358.430178
    50	1 2.574835 663.447422 352.709637
    51	1 2.575330 650.784755 124.029017
    52	1 2.577320 609.451261 350.781674
    53	1 2.577701 656.677756 78.300027
    54	1 2.578848 632.560597 150.903679
    55	1 2.580929 614.755796 180.507239
    56	1 2.582239 692.863241 43.807108
    57	1 2.586197 716.935264 358.712928
    58	1 2.587165 674.656278 120.450497
    59	1 2.588185 675.071545 160.351026
    60	1 2.589393 645.197021 55.067308
    61	1 2.590974 614.514284 69.321726
    62	1 2.595724 698.918463 189.718406
    63	1 2.598404 656.550942 392.338559
    64	1 2.600213 680.505284 364.901014
    65	1 2.601379 686.766968 139.295864
    66	1 2.601379 686.820123 127.933633
    67	1 2.602551 639.203876 140.122455
    68	1 2.603063 680.561766 341.497454
    69	1 2.603063 680.750442 324.335829
    70	1 2.603063 681.016633 347.217995
    71	1 2.603063 681.136064 335.776912
    72	1 2.603063 681.287770 352.938537
    73	1 2.603063 681.455328 330.056371
    74	1 2.603469 620.624044 209.347313
    75	1 2.605945 638.724537 389.978301
    76	1 2.605945 639.138354 395.698842
    77	1 2.606161 681.199943 24.940722
    78	1 2.607434 734.552078 60.934802
    79	1 2.607434 735.275103 73.454694
    80	1 2.607434 735.415219 67.734153
    81	1 2.608386 674.596199 148.845033
    82	1 2.608446 656.674033 127.501029
    83	1 2.611694 662.779157 109.888121
    84	1 2.613958 656.688622 348.330759
    85	1 2.616237 729.307859 272.406319
    86	1 2.617970 735.020547 115.689888
    87	1 2.619023 705.061875 237.839561
    88	1 2.619140 662.885726 93.636315
    89	1 2.620240 639.362836 244.951765
    90	1 2.620797 681.002627 250.345457
    91	1 2.620887 746.541410 204.408922
    92	1 2.625329 639.460082 267.210093
    93	1 2.626038 728.871166 332.174372
    94	1 2.626038 729.055449 337.894914
    95	1 2.628281 663.149222 8.906013
    96	1 2.629785 693.018769 311.015730
    97	1 2.629951 674.605525 249.465817
    98	1 2.629968 717.069422 101.443038
    99	1 2.637433 681.208995 184.301129
   100	1 2.638670 681.400523 216.313649
   101	1 2.643114 620.562462 116.145947
   102	1 2.643889 711.015977 112.559518
   103	1 2.643889 711.185029 118.280060
   104	1 2.647432 698.731437 203.422736
   105	1 2.647432 699.242182 214.161584
   106	1 2.647432 699.428538 222.892353
   107	1 2.649097 675.123264 29.634554
   108	1 2.650911 663.078552 214.439847
   109	1 2.651369 680.694136 103.120325
   110	1 2.651369 681.235549 97.399784
   111	1 2.651369 681.252209 88.669014
   112	1 2.651594 621.469380 138.784446
   113	1 2.653417 746.552052 224.211293
   114	1 2.654509 644.568971 205.568309
   115	1 2.654509 645.460066 216.695224
   116	1 2.658541 723.150489 68.598669
   117	1 2.659298 711.343700 232.551606
   118	1 2.664013 687.182192 185.388759
   119	1 2.669359 639.484455 95.176238
   120	1 2.670366 662.514192 372.786075
   121	1 2.673559 699.435664 177.075008
   122	1 2.674263 657.194514 179.223890
   123	1 2.677092 675.470542 389.182956
   124	1 2.681416 657.058028 20.759008
   125	1 2.682622 651.423274 275.782966
   126	1 2.683378 627.088739 135.825499
   127	1 2.684077 728.805945 127.547749
   128	1 2.687592 698.640199 315.715950
   129	1 2.688957 608.822212 357.112686
   130	1 2.690007 621.451221 316.794926
   131	1 2.690406 740.691355 212.317076
   132	1 2.691492 627.489324 85.904172
   133	1 2.691816 657.189264 370.882041
   134	1 2.693772 747.485264 261.357712
   135	1 2.694597 705.491613 76.724562
   136	1 2.698670 662.762534 35.170589
   137	1 2.698670 663.446626 41.969940
   138	1 2.703008 722.657211 49.710305
   139	1 2.704268 603.104788 195.792953
   140	1 2.705186 734.550908 138.702366
   141	1 2.708765 704.537822 324.937197
   142	1 2.708765 704.790406 319.216655
   143	1 2.710218 686.528957 86.023975
   144	1 2.710837 651.048564 36.406324
   145	1 2.710997 747.394554 372.170255
   146	1 2.713327 645.196432 250.865149
   147	1 2.713731 741.091708 118.034720
   148	1 2.715957 621.370555 348.458361
   149	1 2.721555 662.777523 294.042509
   150	1 2.721584 644.702112 139.384119
   151	1 2.725043 656.612084 246.167477
   152	1 2.726174 614.952124 310.600771
   153	1 2.726323 668.677628 48.543809
   154	1 2.726858 609.024330 214.915090
   155	1 2.726858 609.407479 225.653938
   156	1 2.727508 734.613036 337.328346
   157	1 2.727508 735.397795 325.966116
   158	1 2.736607 626.682343 343.146515
   159	1 2.737989 651.345222 317.058152
   160	1 2.739224 674.823573 220.789096
   161	1 2.739811 722.585062 210.349774
   162	1 2.739811 723.095267 199.610926
   163	1 2.739965 704.522297 248.245110
   164	1 2.740998 698.680462 148.742830
   165	1 2.742141 626.886769 306.796482
   166	1 2.742141 626.905648 317.923397
   167	1 2.742141 626.980859 323.643938
   168	1 2.742908 663.023236 75.905938
   169	1 2.746282 710.852485 226.582915
   170	1 2.749298 668.585572 138.883893
   171	1 2.759582 717.165129 228.129554
   172	1 2.761556 734.771909 96.101805
   173	1 2.764643 621.358324 17.550775
   174	1 2.766480 693.260915 329.610167
   175	1 2.771819 723.348656 372.535662
   176	1 2.771890 687.364711 267.147261
   177	1 2.774959 633.144734 34.913029
   178	1 2.775174 741.128749 26.805333
   179	1 2.775819 608.708032 393.490721
   180	1 2.776790 627.078506 106.737521
   181	1 2.779142 735.125830 394.181718
   182	1 2.781042 615.100962 349.137534
   183	1 2.786122 717.286343 116.104961
   184	1 2.786243 734.846834 123.678120
   185	1 2.788488 674.534754 2.556128
   186	1 2.788686 620.500628 75.162460
   187	1 2.791101 710.522147 323.546431
   188	1 2.791101 710.879639 312.184201
   189	1 2.792849 710.979861 160.299391
   190	1 2.792849 711.472264 167.098742
   191	1 2.802787 638.778786 332.906680
   192	1 2.805693 615.080823 123.574533
   193	1 2.818409 669.326501 270.326754
   194	1 2.818724 710.634246 42.692323
   195	1 2.821468 747.447918 163.335151
